date,close
1984-05-17,18.75
1984-05-31,20.0
1984-06-01,20.0
1984-06-29,20.0
1984-07-02,20.0
1984-07-31,18.0
1984-08-01,18.0
1984-08-31,27.0
1984-09-04,25.75
1984-09-28,23.0
1984-10-01,22.0
1984-10-31,19.75
1984-11-01,19.375
1984-11-30,22.75
1984-12-03,23.25
1984-12-31,25.75
1985-01-02,24.75
1985-01-31,33.75
1985-02-01,33.25
1985-02-28,33.5
1985-03-01,34.5
1985-03-29,32.25
1985-04-01,31.5
1985-04-30,26.25
1985-05-01,27.0
1985-05-31,27.0
1985-06-03,26.125
1985-06-28,25.25
1985-07-01,26.0
1985-07-31,29.75
1985-08-01,30.75
1985-08-30,27.0
1985-09-03,26.625
1985-09-30,24.0
1985-10-01,22.875
1985-10-31,22.75
1985-11-01,23.875
1985-11-29,23.125
1985-12-02,22.75
1985-12-31,25.875
1986-01-02,25.75
1986-01-31,27.5
1986-02-03,28.5
1986-02-28,27.125
1986-03-03,26.75
1986-03-31,34.0
1986-04-01,32.0
1986-04-30,33.25
1986-05-01,33.75
1986-05-30,30.25
1986-06-02,29.625
1986-06-30,27.875
1986-07-01,27.5
1986-07-31,22.0
1986-08-01,22.0
1986-08-29,24.0
1986-09-02,24.375
1986-09-30,22.75
1986-10-01,22.75
1986-10-31,18.25
1986-11-03,18.125
1986-11-28,17.75
1986-12-01,17.625
1986-12-31,15.0
1987-01-02,15.0
1987-01-30,20.875
1987-02-02,20.875
1987-02-27,22.75
1987-03-02,22.0
1987-03-31,21.875
1987-04-01,20.25
1987-04-30,22.375
1987-05-01,20.875
1987-05-29,25.5
1987-06-01,25.375
1987-06-30,23.75
1987-07-01,22.5
1987-07-31,23.125
1987-08-03,22.625
1987-08-31,24.625
1987-09-01,24.25
1987-09-30,22.375
1987-10-01,23.25
1987-10-30,14.625
1987-11-02,13.875
1987-11-30,12.625
1987-12-01,13.125
1987-12-31,13.375
1988-01-04,13.75
1988-01-29,11.875
1988-02-01,12.25
1988-02-29,18.5
1988-03-01,18.375
1988-03-31,20.0
1988-04-04,20.0
1988-04-29,17.75
1988-05-02,19.75
1988-05-31,19.25
1988-06-01,20.5
1988-06-30,20.25
1988-07-01,20.875
1988-07-29,19.625
1988-08-01,19.625
1988-08-31,16.5
1988-09-01,16.125
1988-09-30,16.5
1988-10-03,16.75
1988-10-31,16.625
1988-11-01,16.625
1988-11-30,14.75
1988-12-01,14.75
1988-12-30,16.75
1989-01-03,16.0
1989-01-31,18.125
1989-02-01,18.25
1989-02-28,18.875
1989-03-01,19.25
1989-03-31,19.0
1989-04-03,19.0
1989-04-28,16.375
1989-05-01,16.5
1989-05-31,16.5
1989-06-01,16.0
1989-06-30,15.625
1989-07-03,15.0
1989-07-31,15.0
1989-08-01,15.0
1989-08-31,15.625
1989-09-01,14.5
1989-09-29,14.25
1989-10-02,14.25
1989-10-31,12.625
1989-11-01,12.625
1989-11-30,12.0
1989-12-01,12.0
1989-12-29,11.5
1990-01-02,12.75
1990-01-31,11.0
1990-02-01,11.0
1990-02-28,11.0
1990-03-01,11.0
1990-03-30,11.75
1990-04-02,11.75
1990-04-30,11.75
1990-05-01,11.75
1990-05-31,12.0
1990-06-01,12.0
1990-06-29,13.125
1990-07-02,12.875
1990-07-31,11.0
1990-08-01,11.0
1990-08-31,8.75
1990-09-04,8.375
1990-09-28,8.0
1990-10-01,7.25
1990-10-31,6.625
1990-11-01,6.0
1990-11-30,5.75
1990-12-03,5.75
